# ECP5U & ECP5UM caBGA554 Pin Migration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Revision 1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# Revised Mar 19, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Please read note at the bottom on ECP5U & ECP5UM migration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LFE5U-45,,,,,,,,LFE5UM-45,,,,,,,,LFE5U-85,,,,,,,,LFE5UM-85,,,,,,
Pin Number,Pin Function,Bank,Dual Function,Differential,True LVDS,DQS,,Pin Number,Pin Function,Bank,Dual Function,Differential,True LVDS,DQS,,Pin Number,Pin Function,Bank,Dual Function,Differential,True LVDS,DQS,,Pin Number,Pin Function,Bank,Dual Function,Differential,True LVDS,DQS
M3,PL44D,6,-,Comp_OF_PL44C,-,LDQ41,,M3,PL44D,6,-,Comp_OF_PL44C,-,LDQ41,,M3,PL56D,6,-,Comp_OF_PL56C,-,LDQ53,,M3,PL56D,6,-,Comp_OF_PL56C,-,LDQ53
M4,PL29D,7,-,Comp_OF_PL29C,-,LDQ29,,M4,PL29D,7,-,Comp_OF_PL29C,-,LDQ29,,M4,PL41D,7,-,Comp_OF_PL41C,-,LDQ41,,M4,PL41D,7,-,Comp_OF_PL41C,-,LDQ41
M5,GND,-,-,-,-,-,,M5,GND,-,-,-,-,-,,M5,GND,-,-,-,-,-,,M5,GND,-,-,-,-,-
M6,PL29C,7,GR_PCLK7_0,True_OF_PL29D,-,LDQ29,,M6,PL29C,7,GR_PCLK7_0,True_OF_PL29D,-,LDQ29,,M6,PL41C,7,GR_PCLK7_0,True_OF_PL41D,-,LDQ41,,M6,PL41C,7,GR_PCLK7_0,True_OF_PL41D,-,LDQ41
M8,VCCIO7,7,-,-,-,-,,M8,VCCIO7,7,-,-,-,-,,M8,VCCIO7,7,-,-,-,-,,M8,VCCIO7,7,-,-,-,-
M9,GND,-,-,-,-,-,,M9,GND,-,-,-,-,-,,M9,GND,-,-,-,-,-,,M9,GND,-,-,-,-,-
M10,VCC,-,-,-,-,-,,M10,VCC,-,-,-,-,-,,M10,VCC,-,-,-,-,-,,M10,VCC,-,-,-,-,-
M11,GND,-,-,-,-,-,,M11,GND,-,-,-,-,-,,M11,GND,-,-,-,-,-,,M11,GND,-,-,-,-,-
M12,GND,-,-,-,-,-,,M12,GND,-,-,-,-,-,,M12,GND,-,-,-,-,-,,M12,GND,-,-,-,-,-
M13,GND,-,-,-,-,-,,M13,GND,-,-,-,-,-,,M13,GND,-,-,-,-,-,,M13,GND,-,-,-,-,-
M14,GND,-,-,-,-,-,,M14,GND,-,-,-,-,-,,M14,GND,-,-,-,-,-,,M14,GND,-,-,-,-,-
M15,GND,-,-,-,-,-,,M15,GND,-,-,-,-,-,,M15,GND,-,-,-,-,-,,M15,GND,-,-,-,-,-
M16,GND,-,-,-,-,-,,M16,GND,-,-,-,-,-,,M16,GND,-,-,-,-,-,,M16,GND,-,-,-,-,-
M17,VCC,-,-,-,-,-,,M17,VCC,-,-,-,-,-,,M17,VCC,-,-,-,-,-,,M17,VCC,-,-,-,-,-
M18,GND,-,-,-,-,-,,M18,GND,-,-,-,-,-,,M18,GND,-,-,-,-,-,,M18,GND,-,-,-,-,-
M19,VCCIO2,2,-,-,-,-,,M19,VCCIO2,2,-,-,-,-,,M19,VCCIO2,2,-,-,-,-,,M19,VCCIO2,2,-,-,-,-
M21,PR29C,2,GR_PCLK2_0,True_OF_PR29D,-,RDQ29,,M21,PR29C,2,GR_PCLK2_0,True_OF_PR29D,-,RDQ29,,M21,PR41C,2,GR_PCLK2_0,True_OF_PR41D,-,RDQ41,,M21,PR41C,2,GR_PCLK2_0,True_OF_PR41D,-,RDQ41
M22,GND,-,-,-,-,-,,M22,GND,-,-,-,-,-,,M22,GND,-,-,-,-,-,,M22,GND,-,-,-,-,-
M23,PR29D,2,-,Comp_OF_PR29C,-,RDQ29,,M23,PR29D,2,-,Comp_OF_PR29C,-,RDQ29,,M23,PR41D,2,-,Comp_OF_PR41C,-,RDQ41,,M23,PR41D,2,-,Comp_OF_PR41C,-,RDQ41
M24,PR44D,3,-,Comp_OF_PR44C,-,RDQ41,,M24,PR44D,3,-,Comp_OF_PR44C,-,RDQ41,,M24,PR56D,3,-,Comp_OF_PR56C,-,RDQ53,,M24,PR56D,3,-,Comp_OF_PR56C,-,RDQ53
M25,GND,-,-,-,-,-,,M25,GND,-,-,-,-,-,,M25,GND,-,-,-,-,-,,M25,GND,-,-,-,-,-
M26,PR41B,3,-,Comp_OF_PR41A,TRUE,RDQSN41,,M26,PR41B,3,-,Comp_OF_PR41A,TRUE,RDQSN41,,M26,PR53B,3,-,Comp_OF_PR53A,TRUE,RDQSN53,,M26,PR53B,3,-,Comp_OF_PR53A,TRUE,RDQSN53
N1,PL44A,6,-,True_OF_PL44B,TRUE,LDQ41,,N1,PL44A,6,-,True_OF_PL44B,TRUE,LDQ41,,N1,PL56A,6,-,True_OF_PL56B,TRUE,LDQ53,,N1,PL56A,6,-,True_OF_PL56B,TRUE,LDQ53
N2,PL44B,6,VREF1_6,Comp_OF_PL44A,TRUE,LDQ41,,N2,PL44B,6,VREF1_6,Comp_OF_PL44A,TRUE,LDQ41,,N2,PL56B,6,VREF1_6,Comp_OF_PL56A,TRUE,LDQ53,,N2,PL56B,6,VREF1_6,Comp_OF_PL56A,TRUE,LDQ53
N3,PL44C,6,-,True_OF_PL44D,-,LDQ41,,N3,PL44C,6,-,True_OF_PL44D,-,LDQ41,,N3,PL56C,6,-,True_OF_PL56D,-,LDQ53,,N3,PL56C,6,-,True_OF_PL56D,-,LDQ53
N4,PL47D,6,-,Comp_OF_PL47C,-,LDQ53,,N4,PL47D,6,-,Comp_OF_PL47C,-,LDQ53,,N4,PL71D,6,-,Comp_OF_PL71C,-,LDQ77,,N4,PL71D,6,-,Comp_OF_PL71C,-,LDQ77
N5,PL32D,7,PCLKC7_0,Comp_OF_PL32C,-,LDQ29,,N5,PL32D,7,PCLKC7_0,Comp_OF_PL32C,-,LDQ29,,N5,PL44D,7,PCLKC7_0,Comp_OF_PL44C,-,LDQ41,,N5,PL44D,7,PCLKC7_0,Comp_OF_PL44C,-,LDQ41
N6,PL32C,7,PCLKT7_0,True_OF_PL32D,-,LDQ29,,N6,PL32C,7,PCLKT7_0,True_OF_PL32D,-,LDQ29,,N6,PL44C,7,PCLKT7_0,True_OF_PL44D,-,LDQ41,,N6,PL44C,7,PCLKT7_0,True_OF_PL44D,-,LDQ41
N8,VCCIO7,7,-,-,-,-,,N8,VCCIO7,7,-,-,-,-,,N8,VCCIO7,7,-,-,-,-,,N8,VCCIO7,7,-,-,-,-
N9,GND,-,-,-,-,-,,N9,GND,-,-,-,-,-,,N9,GND,-,-,-,-,-,,N9,GND,-,-,-,-,-
N10,VCC,-,-,-,-,-,,N10,VCC,-,-,-,-,-,,N10,VCC,-,-,-,-,-,,N10,VCC,-,-,-,-,-
N11,GND,-,-,-,-,-,,N11,GND,-,-,-,-,-,,N11,GND,-,-,-,-,-,,N11,GND,-,-,-,-,-
N12,GND,-,-,-,-,-,,N12,GND,-,-,-,-,-,,N12,GND,-,-,-,-,-,,N12,GND,-,-,-,-,-
N13,GND,-,-,-,-,-,,N13,GND,-,-,-,-,-,,N13,GND,-,-,-,-,-,,N13,GND,-,-,-,-,-
N14,GND,-,-,-,-,-,,N14,GND,-,-,-,-,-,,N14,GND,-,-,-,-,-,,N14,GND,-,-,-,-,-
N15,GND,-,-,-,-,-,,N15,GND,-,-,-,-,-,,N15,GND,-,-,-,-,-,,N15,GND,-,-,-,-,-
N16,GND,-,-,-,-,-,,N16,GND,-,-,-,-,-,,N16,GND,-,-,-,-,-,,N16,GND,-,-,-,-,-
N17,VCC,-,-,-,-,-,,N17,VCC,-,-,-,-,-,,N17,VCC,-,-,-,-,-,,N17,VCC,-,-,-,-,-
N18,GND,-,-,-,-,-,,N18,GND,-,-,-,-,-,,N18,GND,-,-,-,-,-,,N18,GND,-,-,-,-,-
N19,VCCIO2,2,-,-,-,-,,N19,VCCIO2,2,-,-,-,-,,N19,VCCIO2,2,-,-,-,-,,N19,VCCIO2,2,-,-,-,-
N21,PR32C,2,PCLKT2_0,True_OF_PR32D,-,RDQ29,,N21,PR32C,2,PCLKT2_0,True_OF_PR32D,-,RDQ29,,N21,PR44C,2,PCLKT2_0,True_OF_PR44D,-,RDQ41,,N21,PR44C,2,PCLKT2_0,True_OF_PR44D,-,RDQ41
N22,PR32D,2,PCLKC2_0,Comp_OF_PR32C,-,RDQ29,,N22,PR32D,2,PCLKC2_0,Comp_OF_PR32C,-,RDQ29,,N22,PR44D,2,PCLKC2_0,Comp_OF_PR44C,-,RDQ41,,N22,PR44D,2,PCLKC2_0,Comp_OF_PR44C,-,RDQ41
N23,PR47D,3,-,Comp_OF_PR47C,-,RDQ53,,N23,PR47D,3,-,Comp_OF_PR47C,-,RDQ53,,N23,PR71D,3,-,Comp_OF_PR71C,-,RDQ77,,N23,PR71D,3,-,Comp_OF_PR71C,-,RDQ77
N24,PR44C,3,-,True_OF_PR44D,-,RDQ41,,N24,PR44C,3,-,True_OF_PR44D,-,RDQ41,,N24,PR56C,3,-,True_OF_PR56D,-,RDQ53,,N24,PR56C,3,-,True_OF_PR56D,-,RDQ53
N25,PR44B,3,VREF1_3,Comp_OF_PR44A,TRUE,RDQ41,,N25,PR44B,3,VREF1_3,Comp_OF_PR44A,TRUE,RDQ41,,N25,PR56B,3,VREF1_3,Comp_OF_PR56A,TRUE,RDQ53,,N25,PR56B,3,VREF1_3,Comp_OF_PR56A,TRUE,RDQ53
N26,PR44A,3,-,True_OF_PR44B,TRUE,RDQ41,,N26,PR44A,3,-,True_OF_PR44B,TRUE,RDQ41,,N26,PR56A,3,-,True_OF_PR56B,TRUE,RDQ53,,N26,PR56A,3,-,True_OF_PR56B,TRUE,RDQ53
P1,PL62B,6,-,Comp_OF_PL62A,TRUE,LDQ65,,P1,PL62B,6,-,Comp_OF_PL62A,TRUE,LDQ65,,P1,PL86B,6,-,Comp_OF_PL86A,TRUE,LDQ89,,P1,PL86B,6,-,Comp_OF_PL86A,TRUE,LDQ89
P2,PL62A,6,-,True_OF_PL62B,TRUE,LDQ65,,P2,PL62A,6,-,True_OF_PL62B,TRUE,LDQ65,,P2,PL86A,6,-,True_OF_PL86B,TRUE,LDQ89,,P2,PL86A,6,-,True_OF_PL86B,TRUE,LDQ89
P3,PL59D,6,-,Comp_OF_PL59C,-,LDQ65,,P3,PL59D,6,-,Comp_OF_PL59C,-,LDQ65,,P3,PL83D,6,-,Comp_OF_PL83C,-,LDQ89,,P3,PL83D,6,-,Comp_OF_PL83C,-,LDQ89
P4,PL47A,6,-,True_OF_PL47B,TRUE,LDQ53,,P4,PL47A,6,-,True_OF_PL47B,TRUE,LDQ53,,P4,PL71A,6,-,True_OF_PL71B,TRUE,LDQ77,,P4,PL71A,6,-,True_OF_PL71B,TRUE,LDQ77
P5,PL47B,6,-,Comp_OF_PL47A,TRUE,LDQ53,,P5,PL47B,6,-,Comp_OF_PL47A,TRUE,LDQ53,,P5,PL71B,6,-,Comp_OF_PL71A,TRUE,LDQ77,,P5,PL71B,6,-,Comp_OF_PL71A,TRUE,LDQ77
P6,PL47C,6,-,True_OF_PL47D,-,LDQ53,,P6,PL47C,6,-,True_OF_PL47D,-,LDQ53,,P6,PL71C,6,-,True_OF_PL71D,-,LDQ77,,P6,PL71C,6,-,True_OF_PL71D,-,LDQ77
P8,VCCIO6,6,-,-,-,-,,P8,VCCIO6,6,-,-,-,-,,P8,VCCIO6,6,-,-,-,-,,P8,VCCIO6,6,-,-,-,-
P9,GND,-,-,-,-,-,,P9,GND,-,-,-,-,-,,P9,GND,-,-,-,-,-,,P9,GND,-,-,-,-,-
P10,VCC,-,-,-,-,-,,P10,VCC,-,-,-,-,-,,P10,VCC,-,-,-,-,-,,P10,VCC,-,-,-,-,-
P11,GND,-,-,-,-,-,,P11,GND,-,-,-,-,-,,P11,GND,-,-,-,-,-,,P11,GND,-,-,-,-,-
P12,GND,-,-,-,-,-,,P12,GND,-,-,-,-,-,,P12,GND,-,-,-,-,-,,P12,GND,-,-,-,-,-
P13,GND,-,-,-,-,-,,P13,GND,-,-,-,-,-,,P13,GND,-,-,-,-,-,,P13,GND,-,-,-,-,-
P14,GND,-,-,-,-,-,,P14,GND,-,-,-,-,-,,P14,GND,-,-,-,-,-,,P14,GND,-,-,-,-,-
P15,GND,-,-,-,-,-,,P15,GND,-,-,-,-,-,,P15,GND,-,-,-,-,-,,P15,GND,-,-,-,-,-
P16,GND,-,-,-,-,-,,P16,GND,-,-,-,-,-,,P16,GND,-,-,-,-,-,,P16,GND,-,-,-,-,-
P17,VCC,-,-,-,-,-,,P17,VCC,-,-,-,-,-,,P17,VCC,-,-,-,-,-,,P17,VCC,-,-,-,-,-
P18,GND,-,-,-,-,-,,P18,GND,-,-,-,-,-,,P18,GND,-,-,-,-,-,,P18,GND,-,-,-,-,-
P19,VCCIO3,3,-,-,-,-,,P19,VCCIO3,3,-,-,-,-,,P19,VCCIO3,3,-,-,-,-,,P19,VCCIO3,3,-,-,-,-
P21,PR47C,3,-,True_OF_PR47D,-,RDQ53,,P21,PR47C,3,-,True_OF_PR47D,-,RDQ53,,P21,PR71C,3,-,True_OF_PR71D,-,RDQ77,,P21,PR71C,3,-,True_OF_PR71D,-,RDQ77
P22,PR47B,3,-,Comp_OF_PR47A,TRUE,RDQ53,,P22,PR47B,3,-,Comp_OF_PR47A,TRUE,RDQ53,,P22,PR71B,3,-,Comp_OF_PR71A,TRUE,RDQ77,,P22,PR71B,3,-,Comp_OF_PR71A,TRUE,RDQ77
P23,PR47A,3,-,True_OF_PR47B,TRUE,RDQ53,,P23,PR47A,3,-,True_OF_PR47B,TRUE,RDQ53,,P23,PR71A,3,-,True_OF_PR71B,TRUE,RDQ77,,P23,PR71A,3,-,True_OF_PR71B,TRUE,RDQ77
P24,PR59D,3,-,Comp_OF_PR59C,-,RDQ65,,P24,PR59D,3,-,Comp_OF_PR59C,-,RDQ65,,P24,PR83D,3,-,Comp_OF_PR83C,-,RDQ89,,P24,PR83D,3,-,Comp_OF_PR83C,-,RDQ89
P25,PR62A,3,-,True_OF_PR62B,TRUE,RDQ65,,P25,PR62A,3,-,True_OF_PR62B,TRUE,RDQ65,,P25,PR86A,3,-,True_OF_PR86B,TRUE,RDQ89,,P25,PR86A,3,-,True_OF_PR86B,TRUE,RDQ89
P26,PR62B,3,-,Comp_OF_PR62A,TRUE,RDQ65,,P26,PR62B,3,-,Comp_OF_PR62A,TRUE,RDQ65,,P26,PR86B,3,-,Comp_OF_PR86A,TRUE,RDQ89,,P26,PR86B,3,-,Comp_OF_PR86A,TRUE,RDQ89
R1,PL62D,6,-,Comp_OF_PL62C,-,LDQ65,,R1,PL62D,6,-,Comp_OF_PL62C,-,LDQ65,,R1,PL86D,6,-,Comp_OF_PL86C,-,LDQ89,,R1,PL86D,6,-,Comp_OF_PL86C,-,LDQ89
R2,GND,-,-,-,-,-,,R2,GND,-,-,-,-,-,,R2,GND,-,-,-,-,-,,R2,GND,-,-,-,-,-
R3,PL59C,6,-,True_OF_PL59D,-,LDQ65,,R3,PL59C,6,-,True_OF_PL59D,-,LDQ65,,R3,PL83C,6,-,True_OF_PL83D,-,LDQ89,,R3,PL83C,6,-,True_OF_PL83D,-,LDQ89
R4,PL50A,6,-,True_OF_PL50B,TRUE,LDQ53,,R4,PL50A,6,-,True_OF_PL50B,TRUE,LDQ53,,R4,PL74A,6,-,True_OF_PL74B,TRUE,LDQ77,,R4,PL74A,6,-,True_OF_PL74B,TRUE,LDQ77
R5,GND,-,-,-,-,-,,R5,GND,-,-,-,-,-,,R5,GND,-,-,-,-,-,,R5,GND,-,-,-,-,-
R6,PL50C,6,-,True_OF_PL50D,-,LDQ53,,R6,PL50C,6,-,True_OF_PL50D,-,LDQ53,,R6,PL74C,6,-,True_OF_PL74D,-,LDQ77,,R6,PL74C,6,-,True_OF_PL74D,-,LDQ77
R8,VCCIO6,6,-,-,-,-,,R8,VCCIO6,6,-,-,-,-,,R8,VCCIO6,6,-,-,-,-,,R8,VCCIO6,6,-,-,-,-
R9,GND,-,-,-,-,-,,R9,GND,-,-,-,-,-,,R9,GND,-,-,-,-,-,,R9,GND,-,-,-,-,-
R10,VCC,-,-,-,-,-,,R10,VCC,-,-,-,-,-,,R10,VCC,-,-,-,-,-,,R10,VCC,-,-,-,-,-
R11,GND,-,-,-,-,-,,R11,GND,-,-,-,-,-,,R11,GND,-,-,-,-,-,,R11,GND,-,-,-,-,-
R12,GND,-,-,-,-,-,,R12,GND,-,-,-,-,-,,R12,GND,-,-,-,-,-,,R12,GND,-,-,-,-,-
R13,GND,-,-,-,-,-,,R13,GND,-,-,-,-,-,,R13,GND,-,-,-,-,-,,R13,GND,-,-,-,-,-
R14,GND,-,-,-,-,-,,R14,GND,-,-,-,-,-,,R14,GND,-,-,-,-,-,,R14,GND,-,-,-,-,-
R15,GND,-,-,-,-,-,,R15,GND,-,-,-,-,-,,R15,GND,-,-,-,-,-,,R15,GND,-,-,-,-,-
R16,GND,-,-,-,-,-,,R16,GND,-,-,-,-,-,,R16,GND,-,-,-,-,-,,R16,GND,-,-,-,-,-
R17,VCC,-,-,-,-,-,,R17,VCC,-,-,-,-,-,,R17,VCC,-,-,-,-,-,,R17,VCC,-,-,-,-,-
R18,GND,-,-,-,-,-,,R18,GND,-,-,-,-,-,,R18,GND,-,-,-,-,-,,R18,GND,-,-,-,-,-
R19,VCCIO3,3,-,-,-,-,,R19,VCCIO3,3,-,-,-,-,,R19,VCCIO3,3,-,-,-,-,,R19,VCCIO3,3,-,-,-,-
R21,PR50C,3,-,True_OF_PR50D,-,RDQ53,,R21,PR50C,3,-,True_OF_PR50D,-,RDQ53,,R21,PR74C,3,-,True_OF_PR74D,-,RDQ77,,R21,PR74C,3,-,True_OF_PR74D,-,RDQ77
R22,GND,-,-,-,-,-,,R22,GND,-,-,-,-,-,,R22,GND,-,-,-,-,-,,R22,GND,-,-,-,-,-
R23,PR50A,3,-,True_OF_PR50B,TRUE,RDQ53,,R23,PR50A,3,-,True_OF_PR50B,TRUE,RDQ53,,R23,PR74A,3,-,True_OF_PR74B,TRUE,RDQ77,,R23,PR74A,3,-,True_OF_PR74B,TRUE,RDQ77
R24,PR59C,3,-,True_OF_PR59D,-,RDQ65,,R24,PR59C,3,-,True_OF_PR59D,-,RDQ65,,R24,PR83C,3,-,True_OF_PR83D,-,RDQ89,,R24,PR83C,3,-,True_OF_PR83D,-,RDQ89
R25,GND,-,-,-,-,-,,R25,GND,-,-,-,-,-,,R25,GND,-,-,-,-,-,,R25,GND,-,-,-,-,-
R26,PR62D,3,-,Comp_OF_PR62C,-,RDQ65,,R26,PR62D,3,-,Comp_OF_PR62C,-,RDQ65,,R26,PR86D,3,-,Comp_OF_PR86C,-,RDQ89,,R26,PR86D,3,-,Comp_OF_PR86C,-,RDQ89
T1,PL65D,6,-,Comp_OF_PL65C,-,LDQ65,,T1,PL65D,6,-,Comp_OF_PL65C,-,LDQ65,,T1,PL89D,6,-,Comp_OF_PL89C,-,LDQ89,,T1,PL89D,6,-,Comp_OF_PL89C,-,LDQ89
T2,PL62C,6,-,True_OF_PL62D,-,LDQ65,,T2,PL62C,6,-,True_OF_PL62D,-,LDQ65,,T2,PL86C,6,-,True_OF_PL86D,-,LDQ89,,T2,PL86C,6,-,True_OF_PL86D,-,LDQ89
T3,PL59A,6,-,True_OF_PL59B,TRUE,LDQ65,,T3,PL59A,6,-,True_OF_PL59B,TRUE,LDQ65,,T3,PL83A,6,-,True_OF_PL83B,TRUE,LDQ89,,T3,PL83A,6,-,True_OF_PL83B,TRUE,LDQ89
T4,PL50D,6,-,Comp_OF_PL50C,-,LDQ53,,T4,PL50D,6,-,Comp_OF_PL50C,-,LDQ53,,T4,PL74D,6,-,Comp_OF_PL74C,-,LDQ77,,T4,PL74D,6,-,Comp_OF_PL74C,-,LDQ77
T5,PL50B,6,-,Comp_OF_PL50A,TRUE,LDQ53,,T5,PL50B,6,-,Comp_OF_PL50A,TRUE,LDQ53,,T5,PL74B,6,-,Comp_OF_PL74A,TRUE,LDQ77,,T5,PL74B,6,-,Comp_OF_PL74A,TRUE,LDQ77
T8,VCCAUX,-,-,-,-,-,,T8,VCCAUX,-,-,-,-,-,,T8,VCCAUX,-,-,-,-,-,,T8,VCCAUX,-,-,-,-,-
T9,GND,-,-,-,-,-,,T9,GND,-,-,-,-,-,,T9,GND,-,-,-,-,-,,T9,GND,-,-,-,-,-
T10,VCC,-,-,-,-,-,,T10,VCC,-,-,-,-,-,,T10,VCC,-,-,-,-,-,,T10,VCC,-,-,-,-,-
T11,VCC,-,-,-,-,-,,T11,VCC,-,-,-,-,-,,T11,VCC,-,-,-,-,-,,T11,VCC,-,-,-,-,-
T12,VCC,-,-,-,-,-,,T12,VCC,-,-,-,-,-,,T12,VCC,-,-,-,-,-,,T12,VCC,-,-,-,-,-
T13,VCC,-,-,-,-,-,,T13,VCC,-,-,-,-,-,,T13,VCC,-,-,-,-,-,,T13,VCC,-,-,-,-,-
T14,VCC,-,-,-,-,-,,T14,VCC,-,-,-,-,-,,T14,VCC,-,-,-,-,-,,T14,VCC,-,-,-,-,-
T15,VCC,-,-,-,-,-,,T15,VCC,-,-,-,-,-,,T15,VCC,-,-,-,-,-,,T15,VCC,-,-,-,-,-
T16,VCC,-,-,-,-,-,,T16,VCC,-,-,-,-,-,,T16,VCC,-,-,-,-,-,,T16,VCC,-,-,-,-,-
T17,VCC,-,-,-,-,-,,T17,VCC,-,-,-,-,-,,T17,VCC,-,-,-,-,-,,T17,VCC,-,-,-,-,-
T18,GND,-,-,-,-,-,,T18,GND,-,-,-,-,-,,T18,GND,-,-,-,-,-,,T18,GND,-,-,-,-,-
T19,VCCAUX,-,-,-,-,-,,T19,VCCAUX,-,-,-,-,-,,T19,VCCAUX,-,-,-,-,-,,T19,VCCAUX,-,-,-,-,-
T22,PR50B,3,-,Comp_OF_PR50A,TRUE,RDQ53,,T22,PR50B,3,-,Comp_OF_PR50A,TRUE,RDQ53,,T22,PR74B,3,-,Comp_OF_PR74A,TRUE,RDQ77,,T22,PR74B,3,-,Comp_OF_PR74A,TRUE,RDQ77
T23,PR50D,3,-,Comp_OF_PR50C,-,RDQ53,,T23,PR50D,3,-,Comp_OF_PR50C,-,RDQ53,,T23,PR74D,3,-,Comp_OF_PR74C,-,RDQ77,,T23,PR74D,3,-,Comp_OF_PR74C,-,RDQ77
T24,PR59A,3,-,True_OF_PR59B,TRUE,RDQ65,,T24,PR59A,3,-,True_OF_PR59B,TRUE,RDQ65,,T24,PR83A,3,-,True_OF_PR83B,TRUE,RDQ89,,T24,PR83A,3,-,True_OF_PR83B,TRUE,RDQ89
T25,PR62C,3,-,True_OF_PR62D,-,RDQ65,,T25,PR62C,3,-,True_OF_PR62D,-,RDQ65,,T25,PR86C,3,-,True_OF_PR86D,-,RDQ89,,T25,PR86C,3,-,True_OF_PR86D,-,RDQ89
T26,PR65D,3,-,Comp_OF_PR65C,-,RDQ65,,T26,PR65D,3,-,Comp_OF_PR65C,-,RDQ65,,T26,PR89D,3,-,Comp_OF_PR89C,-,RDQ89,,T26,PR89D,3,-,Comp_OF_PR89C,-,RDQ89
U1,PL65C,6,-,True_OF_PL65D,-,LDQ65,,U1,PL65C,6,-,True_OF_PL65D,-,LDQ65,,U1,PL89C,6,-,True_OF_PL89D,-,LDQ89,,U1,PL89C,6,-,True_OF_PL89D,-,LDQ89
U2,PL65B,6,-,Comp_OF_PL65A,TRUE,LDQSN65,,U2,PL65B,6,-,Comp_OF_PL65A,TRUE,LDQSN65,,U2,PL89B,6,-,Comp_OF_PL89A,TRUE,LDQSN89,,U2,PL89B,6,-,Comp_OF_PL89A,TRUE,LDQSN89
U3,PL59B,6,-,Comp_OF_PL59A,TRUE,LDQ65,,U3,PL59B,6,-,Comp_OF_PL59A,TRUE,LDQ65,,U3,PL83B,6,-,Comp_OF_PL83A,TRUE,LDQ89,,U3,PL83B,6,-,Comp_OF_PL83A,TRUE,LDQ89
U4,PL53D,6,-,Comp_OF_PL53C,-,LDQ53,,U4,PL53D,6,-,Comp_OF_PL53C,-,LDQ53,,U4,PL77D,6,-,Comp_OF_PL77C,-,LDQ77,,U4,PL77D,6,-,Comp_OF_PL77C,-,LDQ77
U5,PL53B,6,-,Comp_OF_PL53A,TRUE,LDQSN53,,U5,PL53B,6,-,Comp_OF_PL53A,TRUE,LDQSN53,,U5,PL77B,6,-,Comp_OF_PL77A,TRUE,LDQSN77,,U5,PL77B,6,-,Comp_OF_PL77A,TRUE,LDQSN77
U6,PL53C,6,-,True_OF_PL53D,-,LDQ53,,U6,PL53C,6,-,True_OF_PL53D,-,LDQ53,,U6,PL77C,6,-,True_OF_PL77D,-,LDQ77,,U6,PL77C,6,-,True_OF_PL77D,-,LDQ77
U8,VCCIO6,6,-,-,-,-,,U8,VCCIO6,6,-,-,-,-,,U8,VCCIO6,6,-,-,-,-,,U8,VCCIO6,6,-,-,-,-
U9,GND,-,-,-,-,-,,U9,GND,-,-,-,-,-,,U9,GND,-,-,-,-,-,,U9,GND,-,-,-,-,-
U10,GND,-,-,-,-,-,,U10,GND,-,-,-,-,-,,U10,GND,-,-,-,-,-,,U10,GND,-,-,-,-,-
U11,GND,-,-,-,-,-,,U11,GND,-,-,-,-,-,,U11,GND,-,-,-,-,-,,U11,GND,-,-,-,-,-
U12,GND,-,-,-,-,-,,U12,GND,-,-,-,-,-,,U12,GND,-,-,-,-,-,,U12,GND,-,-,-,-,-
U13,GND,-,-,-,-,-,,U13,GND,-,-,-,-,-,,U13,GND,-,-,-,-,-,,U13,GND,-,-,-,-,-
U14,GND,-,-,-,-,-,,U14,GND,-,-,-,-,-,,U14,GND,-,-,-,-,-,,U14,GND,-,-,-,-,-
U15,GND,-,-,-,-,-,,U15,GND,-,-,-,-,-,,U15,GND,-,-,-,-,-,,U15,GND,-,-,-,-,-
U16,GND,-,-,-,-,-,,U16,GND,-,-,-,-,-,,U16,GND,-,-,-,-,-,,U16,GND,-,-,-,-,-
U17,GND,-,-,-,-,-,,U17,GND,-,-,-,-,-,,U17,GND,-,-,-,-,-,,U17,GND,-,-,-,-,-
U18,GND,-,-,-,-,-,,U18,GND,-,-,-,-,-,,U18,GND,-,-,-,-,-,,U18,GND,-,-,-,-,-
U19,VCCIO3,3,-,-,-,-,,U19,VCCIO3,3,-,-,-,-,,U19,VCCIO3,3,-,-,-,-,,U19,VCCIO3,3,-,-,-,-
U21,PR53C,3,-,True_OF_PR53D,-,RDQ53,,U21,PR53C,3,-,True_OF_PR53D,-,RDQ53,,U21,PR77C,3,-,True_OF_PR77D,-,RDQ77,,U21,PR77C,3,-,True_OF_PR77D,-,RDQ77
U22,PR53B,3,-,Comp_OF_PR53A,TRUE,RDQSN53,,U22,PR53B,3,-,Comp_OF_PR53A,TRUE,RDQSN53,,U22,PR77B,3,-,Comp_OF_PR77A,TRUE,RDQSN77,,U22,PR77B,3,-,Comp_OF_PR77A,TRUE,RDQSN77
U23,PR53D,3,-,Comp_OF_PR53C,-,RDQ53,,U23,PR53D,3,-,Comp_OF_PR53C,-,RDQ53,,U23,PR77D,3,-,Comp_OF_PR77C,-,RDQ77,,U23,PR77D,3,-,Comp_OF_PR77C,-,RDQ77
