# ECP5U & ECP5UM caBGA554 Pin Migration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Revision 1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# Revised Mar 19, 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Please read note at the bottom on ECP5U & ECP5UM migration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LFE5U-45,,,,,,,,LFE5UM-45,,,,,,,,LFE5U-85,,,,,,,,LFE5UM-85,,,,,,
Pin Number,Pin Function,Bank,Dual Function,Differential,True LVDS,DQS,,Pin Number,Pin Function,Bank,Dual Function,Differential,True LVDS,DQS,,Pin Number,Pin Function,Bank,Dual Function,Differential,True LVDS,DQS,,Pin Number,Pin Function,Bank,Dual Function,Differential,True LVDS,DQS
B23,PT83B,1,-,Comp_OF_PT83A,-,-,,B23,PT83B,1,-,Comp_OF_PT83A,-,-,,B23,PT119B,1,-,Comp_OF_PT119A,-,-,,B23,PT119B,1,-,Comp_OF_PT119A,-,-
B24,PR14D,2,-,Comp_OF_PR14C,-,RDQ17,,B24,PR14D,2,-,Comp_OF_PR14C,-,RDQ17,,B24,PR14D,2,-,Comp_OF_PR14C,-,RDQ17,,B24,PR14D,2,-,Comp_OF_PR14C,-,RDQ17
B25,GND,-,-,-,-,-,,B25,GND,-,-,-,-,-,,B25,GND,-,-,-,-,-,,B25,GND,-,-,-,-,-
B26,PR14C,2,-,True_OF_PR14D,-,RDQ17,,B26,PR14C,2,-,True_OF_PR14D,-,RDQ17,,B26,PR14C,2,-,True_OF_PR14D,-,RDQ17,,B26,PR14C,2,-,True_OF_PR14D,-,RDQ17
C1,PL11B,7,ULC_GPLL0C_IN,Comp_OF_PL11A,TRUE,LDQ17,,C1,PL11B,7,ULC_GPLL0C_IN,Comp_OF_PL11A,TRUE,LDQ17,,C1,PL11B,7,ULC_GPLL0C_IN,Comp_OF_PL11A,TRUE,LDQ17,,C1,PL11B,7,ULC_GPLL0C_IN,Comp_OF_PL11A,TRUE,LDQ17
C2,PL11A,7,ULC_GPLL0T_IN,True_OF_PL11B,TRUE,LDQ17,,C2,PL11A,7,ULC_GPLL0T_IN,True_OF_PL11B,TRUE,LDQ17,,C2,PL11A,7,ULC_GPLL0T_IN,True_OF_PL11B,TRUE,LDQ17,,C2,PL11A,7,ULC_GPLL0T_IN,True_OF_PL11B,TRUE,LDQ17
C3,PL11D,7,-,Comp_OF_PL11C,-,LDQ17,,C3,PL11D,7,-,Comp_OF_PL11C,-,LDQ17,,C3,PL11D,7,-,Comp_OF_PL11C,-,LDQ17,,C3,PL11D,7,-,Comp_OF_PL11C,-,LDQ17
C4,PL11C,7,-,True_OF_PL11D,-,LDQ17,,C4,PL11C,7,-,True_OF_PL11D,-,LDQ17,,C4,PL11C,7,-,True_OF_PL11D,-,LDQ17,,C4,PL11C,7,-,True_OF_PL11D,-,LDQ17
C5,PT9B,0,-,Comp_OF_PT9A,-,-,,C5,PT9B,0,-,Comp_OF_PT9A,-,-,,C5,PT9B,0,-,Comp_OF_PT9A,-,-,,C5,PT9B,0,-,Comp_OF_PT9A,-,-
C6,PT13A,0,-,True_OF_PT13B,-,-,,C6,PT13A,0,-,True_OF_PT13B,-,-,,C6,PT13A,0,-,True_OF_PT13B,-,-,,C6,PT13A,0,-,True_OF_PT13B,-,-
