# ECP5U caBGA256 Pin Migration,,,,,,,,,,,,,,,,,,,,,,
# Revision 2.0.  Added LFE5U-45,,,,,,,,,,,,,,,,,,,,,,
"# Revised Mar. 19, 2018",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LFE5U-12,,,,,,,,LFE5U-25,,,,,,,,LFE5U-45,,,,,,
Pin Number,Pin/Ball Function,Bank,Dual Function,Differential,True LVDS,DQS,,Pin Number,Pin/Ball Function,Bank,Dual Function,Differential,True LVDS,DQS,,Pin Number,Pin/Ball Function,Bank,Dual Function,Differential,High Speed,DQS
F1,PL14A,7,-,True_OF_PL14B,TRUE,LDQ20,,F1,PL14A,7,-,True_OF_PL14B,TRUE,LDQ20,,F1,PL23A,7,-,True_OF_PL23B,TRUE,LDQ29
F10,VCCIO1,1,-,-,-,-,,F10,VCCIO1,1,-,-,-,-,,F10,VCCIO1,1,-,-,-,-
F11,VCCIO1,1,-,-,-,-,,F11,VCCIO1,1,-,-,-,-,,F11,VCCIO1,1,-,-,-,-
F12,PR8D,2,-,Comp_OF_PR8C,-,RDQ8,,F12,PR8D,2,-,Comp_OF_PR8C,-,RDQ8,,F12,PR17D,2,-,Comp_OF_PR17C,-,RDQ17
F13,PR8C,2,-,True_OF_PR8D,-,RDQ8,,F13,PR8C,2,-,True_OF_PR8D,-,RDQ8,,F13,PR17C,2,-,True_OF_PR17D,-,RDQ17
F14,PR5D,2,-,Comp_OF_PR5C,-,RDQ8,,F14,PR5D,2,-,Comp_OF_PR5C,-,RDQ8,,F14,PR14D,2,-,Comp_OF_PR14C,-,RDQ17
F15,PR11C,2,-,True_OF_PR11D,-,RDQ8,,F15,PR11C,2,-,True_OF_PR11D,-,RDQ8,,F15,PR20C,2,-,True_OF_PR20D,-,RDQ17
F16,PR14A,2,-,True_OF_PR14B,TRUE,RDQ20,,F16,PR14A,2,-,True_OF_PR14B,TRUE,RDQ20,,F16,PR23A,2,-,True_OF_PR23B,TRUE,RDQ29
F2,PL11C,7,-,True_OF_PL11D,-,LDQ8,,F2,PL11C,7,-,True_OF_PL11D,-,LDQ8,,F2,PL20C,7,-,True_OF_PL20D,-,LDQ17
F3,PL5D,7,-,Comp_OF_PL5C,-,LDQ8,,F3,PL5D,7,-,Comp_OF_PL5C,-,LDQ8,,F3,PL14D,7,-,Comp_OF_PL14C,-,LDQ17
F4,PL8C,7,-,True_OF_PL8D,-,LDQ8,,F4,PL8C,7,-,True_OF_PL8D,-,LDQ8,,F4,PL17C,7,-,True_OF_PL17D,-,LDQ17
F5,PL8D,7,-,Comp_OF_PL8C,-,LDQ8,,F5,PL8D,7,-,Comp_OF_PL8C,-,LDQ8,,F5,PL17D,7,-,Comp_OF_PL17C,-,LDQ17
F6,VCCIO0,0,-,-,-,-,,F6,VCCIO0,0,-,-,-,-,,F6,VCCIO0,0,-,-,-,-
F7,VCCIO0,0,-,-,-,-,,F7,VCCIO0,0,-,-,-,-,,F7,VCCIO0,0,-,-,-,-
F8,GND,-,-,-,-,-,,F8,GND,-,-,-,-,-,,F8,GND,-,-,-,-,-
F9,GND,-,-,-,-,-,,F9,GND,-,-,-,-,-,,F9,GND,-,-,-,-,-
G1,PL20A,7,GR_PCLK7_1,True_OF_PL20B,TRUE,LDQS20,,G1,PL20A,7,GR_PCLK7_1,True_OF_PL20B,TRUE,LDQS20,,G1,PL29A,7,GR_PCLK7_1,True_OF_PL29B,TRUE,LDQS29
G10,GND,-,-,-,-,-,,G10,GND,-,-,-,-,-,,G10,GND,-,-,-,-,-
G11,VCCAUX,-,-,-,-,-,,G11,VCCAUX,-,-,-,-,-,,G11,VCCAUX,-,-,-,-,-
G12,PR11A,2,-,True_OF_PR11B,TRUE,RDQ8,,G12,PR11A,2,-,True_OF_PR11B,TRUE,RDQ8,,G12,PR20A,2,-,True_OF_PR20B,TRUE,RDQ17
G13,PR11B,2,-,Comp_OF_PR11A,TRUE,RDQ8,,G13,PR11B,2,-,Comp_OF_PR11A,TRUE,RDQ8,,G13,PR20B,2,-,Comp_OF_PR20A,TRUE,RDQ17
G14,PR14C,2,VREF1_2,True_OF_PR14D,-,RDQ20,,G14,PR14C,2,VREF1_2,True_OF_PR14D,-,RDQ20,,G14,PR23C,2,VREF1_2,True_OF_PR23D,-,RDQ29
G15,PR14B,2,-,Comp_OF_PR14A,TRUE,RDQ20,,G15,PR14B,2,-,Comp_OF_PR14A,TRUE,RDQ20,,G15,PR23B,2,-,Comp_OF_PR23A,TRUE,RDQ29
G16,PR20A,2,GR_PCLK2_1,True_OF_PR20B,TRUE,RDQS20,,G16,PR20A,2,GR_PCLK2_1,True_OF_PR20B,TRUE,RDQS20,,G16,PR29A,2,GR_PCLK2_1,True_OF_PR29B,TRUE,RDQS29
G2,PL14B,7,-,Comp_OF_PL14A,TRUE,LDQ20,,G2,PL14B,7,-,Comp_OF_PL14A,TRUE,LDQ20,,G2,PL23B,7,-,Comp_OF_PL23A,TRUE,LDQ29
G3,PL14C,7,VREF1_7,True_OF_PL14D,-,LDQ20,,G3,PL14C,7,VREF1_7,True_OF_PL14D,-,LDQ20,,G3,PL23C,7,VREF1_7,True_OF_PL23D,-,LDQ29
G4,PL11B,7,-,Comp_OF_PL11A,TRUE,LDQ8,,G4,PL11B,7,-,Comp_OF_PL11A,TRUE,LDQ8,,G4,PL20B,7,-,Comp_OF_PL20A,TRUE,LDQ17
G5,PL11A,7,-,True_OF_PL11B,TRUE,LDQ8,,G5,PL11A,7,-,True_OF_PL11B,TRUE,LDQ8,,G5,PL20A,7,-,True_OF_PL20B,TRUE,LDQ17
G6,VCC,-,-,-,-,-,,G6,VCC,-,-,-,-,-,,G6,VCC,-,-,-,-,-
G7,VCC,-,-,-,-,-,,G7,VCC,-,-,-,-,-,,G7,VCC,-,-,-,-,-
G8,GND,-,-,-,-,-,,G8,GND,-,-,-,-,-,,G8,GND,-,-,-,-,-
G9,VCC,-,-,-,-,-,,G9,VCC,-,-,-,-,-,,G9,VCC,-,-,-,-,-
H1,GND,-,-,-,-,-,,H1,GND,-,-,-,-,-,,H1,GND,-,-,-,-,-
H10,GND,-,-,-,-,-,,H10,GND,-,-,-,-,-,,H10,GND,-,-,-,-,-
H11,VCCIO2,2,-,-,-,-,,H11,VCCIO2,2,-,-,-,-,,H11,VCCIO2,2,-,-,-,-
H12,PR17A,2,-,True_OF_PR17B,TRUE,RDQ20,,H12,PR17A,2,-,True_OF_PR17B,TRUE,RDQ20,,H12,PR26A,2,-,True_OF_PR26B,TRUE,RDQ29
H13,PR17B,2,-,Comp_OF_PR17A,TRUE,RDQ20,,H13,PR17B,2,-,Comp_OF_PR17A,TRUE,RDQ20,,H13,PR26B,2,-,Comp_OF_PR26A,TRUE,RDQ29
H14,PR14D,2,-,Comp_OF_PR14C,-,RDQ20,,H14,PR14D,2,-,Comp_OF_PR14C,-,RDQ20,,H14,PR23D,2,-,Comp_OF_PR23C,-,RDQ29
H15,PR20B,2,-,Comp_OF_PR20A,TRUE,RDQSN20,,H15,PR20B,2,-,Comp_OF_PR20A,TRUE,RDQSN20,,H15,PR29B,2,-,Comp_OF_PR29A,TRUE,RDQSN29
H16,GND,-,-,-,-,-,,H16,GND,-,-,-,-,-,,H16,GND,-,-,-,-,-
H2,PL20B,7,-,Comp_OF_PL20A,TRUE,LDQSN20,,H2,PL20B,7,-,Comp_OF_PL20A,TRUE,LDQSN20,,H2,PL29B,7,-,Comp_OF_PL29A,TRUE,LDQSN29
H3,PL14D,7,-,Comp_OF_PL14C,-,LDQ20,,H3,PL14D,7,-,Comp_OF_PL14C,-,LDQ20,,H3,PL23D,7,-,Comp_OF_PL23C,-,LDQ29
H4,PL17B,7,-,Comp_OF_PL17A,TRUE,LDQ20,,H4,PL17B,7,-,Comp_OF_PL17A,TRUE,LDQ20,,H4,PL26B,7,-,Comp_OF_PL26A,TRUE,LDQ29
H5,PL17A,7,-,True_OF_PL17B,TRUE,LDQ20,,H5,PL17A,7,-,True_OF_PL17B,TRUE,LDQ20,,H5,PL26A,7,-,True_OF_PL26B,TRUE,LDQ29
H6,VCCIO7,7,-,-,-,-,,H6,VCCIO7,7,-,-,-,-,,H6,VCCIO7,7,-,-,-,-
H7,VCCIO7,7,-,-,-,-,,H7,VCCIO7,7,-,-,-,-,,H7,VCCIO7,7,-,-,-,-
H8,GND,-,-,-,-,-,,H8,GND,-,-,-,-,-,,H8,GND,-,-,-,-,-
H9,GND,-,-,-,-,-,,H9,GND,-,-,-,-,-,,H9,GND,-,-,-,-,-
J1,PL23A,7,PCLKT7_1,True_OF_PL23B,TRUE,LDQ20,,J1,PL23A,7,PCLKT7_1,True_OF_PL23B,TRUE,LDQ20,,J1,PL32A,7,PCLKT7_1,True_OF_PL32B,TRUE,LDQ29
J10,GND,-,-,-,-,-,,J10,GND,-,-,-,-,-,,J10,GND,-,-,-,-,-
J11,VCCIO2,2,-,-,-,-,,J11,VCCIO2,2,-,-,-,-,,J11,VCCIO2,2,-,-,-,-
J12,PR17D,2,-,Comp_OF_PR17C,-,RDQ20,,J12,PR17D,2,-,Comp_OF_PR17C,-,RDQ20,,J12,PR26D,2,-,Comp_OF_PR26C,-,RDQ29
J13,PR17C,2,-,True_OF_PR17D,-,RDQ20,,J13,PR17C,2,-,True_OF_PR17D,-,RDQ20,,J13,PR26C,2,-,True_OF_PR26D,-,RDQ29
J14,PR20C,2,GR_PCLK2_0,True_OF_PR20D,-,RDQ20,,J14,PR20C,2,GR_PCLK2_0,True_OF_PR20D,-,RDQ20,,J14,PR29C,2,GR_PCLK2_0,True_OF_PR29D,-,RDQ29
J15,PR23B,2,PCLKC2_1,Comp_OF_PR23A,TRUE,RDQ20,,J15,PR23B,2,PCLKC2_1,Comp_OF_PR23A,TRUE,RDQ20,,J15,PR32B,2,PCLKC2_1,Comp_OF_PR32A,TRUE,RDQ29
J16,PR23A,2,PCLKT2_1,True_OF_PR23B,TRUE,RDQ20,,J16,PR23A,2,PCLKT2_1,True_OF_PR23B,TRUE,RDQ20,,J16,PR32A,2,PCLKT2_1,True_OF_PR32B,TRUE,RDQ29
J2,PL23B,7,PCLKC7_1,Comp_OF_PL23A,TRUE,LDQ20,,J2,PL23B,7,PCLKC7_1,Comp_OF_PL23A,TRUE,LDQ20,,J2,PL32B,7,PCLKC7_1,Comp_OF_PL32A,TRUE,LDQ29
J3,PL20C,7,GR_PCLK7_0,True_OF_PL20D,-,LDQ20,,J3,PL20C,7,GR_PCLK7_0,True_OF_PL20D,-,LDQ20,,J3,PL29C,7,GR_PCLK7_0,True_OF_PL29D,-,LDQ29
J4,PL17C,7,-,True_OF_PL17D,-,LDQ20,,J4,PL17C,7,-,True_OF_PL17D,-,LDQ20,,J4,PL26C,7,-,True_OF_PL26D,-,LDQ29
J5,PL17D,7,-,Comp_OF_PL17C,-,LDQ20,,J5,PL17D,7,-,Comp_OF_PL17C,-,LDQ20,,J5,PL26D,7,-,Comp_OF_PL26C,-,LDQ29
J6,VCCIO6,6,-,-,-,-,,J6,VCCIO6,6,-,-,-,-,,J6,VCCIO6,6,-,-,-,-
J7,VCCIO6,6,-,-,-,-,,J7,VCCIO6,6,-,-,-,-,,J7,VCCIO6,6,-,-,-,-
J8,GND,-,-,-,-,-,,J8,GND,-,-,-,-,-,,J8,GND,-,-,-,-,-
J9,GND,-,-,-,-,-,,J9,GND,-,-,-,-,-,,J9,GND,-,-,-,-,-
K1,PL23C,7,PCLKT7_0,True_OF_PL23D,-,LDQ20,,K1,PL23C,7,PCLKT7_0,True_OF_PL23D,-,LDQ20,,K1,PL32C,7,PCLKT7_0,True_OF_PL32D,-,LDQ29
K10,GND,-,-,-,-,-,,K10,GND,-,-,-,-,-,,K10,GND,-,-,-,-,-
K11,VCCIO3,3,-,-,-,-,,K11,VCCIO3,3,-,-,-,-,,K11,VCCIO3,3,-,-,-,-
K12,PR29B,3,-,Comp_OF_PR29A,TRUE,RDQ32,,K12,PR29B,3,-,Comp_OF_PR29A,TRUE,RDQ32,,K12,PR38B,3,-,Comp_OF_PR38A,TRUE,RDQ41
