# Pin Out For ECP5-5G-85,,,,,,,
# Revision 0.0,,,,,,,
"# Revised Feb. 23, 2016",,,,,,,
,,,,,,,
PAD,Pin/Ball Function,Bank,Dual Function,Differential,High Speed,DQS,CSFBGA285
367,PR77A,3,3,True_OF_PR77B,TRUE,RDQS77,-
368,PR74D,3,-,Comp_OF_PR74C,-,RDQ77,-
369,VSS,-,3,-,-,-,-
370,PR74B,3,3,Comp_OF_PR74A,TRUE,RDQ77,-
371,PR74C,3,-,True_OF_PR74D,-,RDQ77,-
372,VCCAUX,-,3,-,-,-,-
373,PR74A,3,3,True_OF_PR74B,TRUE,RDQ77,-
374,PR71D,3,-,Comp_OF_PR71C,-,RDQ77,-
375,VCCIO3,-,3,-,-,-,-
376,PR71B,3,3,Comp_OF_PR71A,TRUE,RDQ77,-
377,PR71C,3,-,True_OF_PR71D,-,RDQ77,-
378,VSSIO3,-,3,-,-,-,-
379,PR71A,3,3,True_OF_PR71B,TRUE,RDQ77,-
380,PR68D,3,-,Comp_OF_PR68C,-,RDQ65,-
381,VCCIO3,-,3,-,-,-,-
382,PR68B,3,3,Comp_OF_PR68A,TRUE,RDQ65,-
383,PR68C,3,-,True_OF_PR68D,-,RDQ65,-
384,VSSIO3,-,3,-,-,-,-
385,PR68A,3,3,True_OF_PR68B,TRUE,RDQ65,-
386,PR65D,3,-,Comp_OF_PR65C,-,RDQ65,-
387,VSS,-,3,-,-,-,-
388,PR65B,3,3,Comp_OF_PR65A,TRUE,RDQSN65,-
389,PR65C,3,-,True_OF_PR65D,-,RDQ65,-
390,VCC,-,3,-,-,-,-
391,PR65A,3,3,True_OF_PR65B,TRUE,RDQS65,-
392,PR62D,3,-,Comp_OF_PR62C,-,RDQ65,-
393,VSS,-,3,-,-,-,-
394,PR62B,3,3,Comp_OF_PR62A,TRUE,RDQ65,-
395,PR62C,3,-,True_OF_PR62D,-,RDQ65,-
396,VCCAUX,-,3,-,-,-,-
397,PR62A,3,3,True_OF_PR62B,TRUE,RDQ65,-
398,PR59D,3,-,Comp_OF_PR59C,-,RDQ65,-
399,VCCIO3,-,3,-,-,-,-
400,PR59B,3,3,Comp_OF_PR59A,TRUE,RDQ65,-
401,PR59C,3,-,True_OF_PR59D,-,RDQ65,-
402,VSSIO3,-,3,-,-,-,-
403,PR59A,3,3,True_OF_PR59B,TRUE,RDQ65,-
404,PR56D,3,-,Comp_OF_PR56C,-,RDQ53,H1
405,VCCIO3,-,3,-,-,-,-
406,PR56B,3,3,Comp_OF_PR56A,TRUE,RDQ53,J1
407,PR56C,3,-,True_OF_PR56D,-,RDQ53,F1
408,VSSIO3,-,3,-,-,-,-
409,PR56A,3,3,True_OF_PR56B,TRUE,RDQ53,J2
410,PR53D,3,-,Comp_OF_PR53C,-,RDQ53,-
411,VSS,-,3,-,-,-,-
412,PR53B,3,3,Comp_OF_PR53A,TRUE,RDQSN53,G1
413,PR53C,3,-,True_OF_PR53D,-,RDQ53,-
414,VCC,-,3,-,-,-,-
415,PR53A,3,3,True_OF_PR53B,TRUE,RDQS53,F2
416,PR50D,3,-,Comp_OF_PR50C,-,RDQ53,H2
417,VSS,-,3,-,-,-,-
418,PR50B,3,3,Comp_OF_PR50A,TRUE,RDQ53,G3
419,PR50C,3,-,True_OF_PR50D,-,RDQ53,J3
420,VCCAUX,-,3,-,-,-,-
421,PR50A,3,3,True_OF_PR50B,TRUE,RDQ53,H3
422,PR47D,3,-,Comp_OF_PR47C,-,RDQ53,F3
423,VCCIO3,-,3,-,-,-,-
424,PR47B,3,3,Comp_OF_PR47A,TRUE,RDQ53,G4
425,PR47C,3,-,True_OF_PR47D,-,RDQ53,F4
426,VSSIO3,-,3,-,-,-,-
427,PR47A,3,3,True_OF_PR47B,TRUE,RDQ53,H4
428,PR44D,2,-,Comp_OF_PR44C,-,RDQ41,D1
429,VCCIO2,-,3,-,-,-,-
430,PR44B,2,3,Comp_OF_PR44A,TRUE,RDQ41,B1
431,PR44C,2,-,True_OF_PR44D,-,RDQ41,C1
432,VSSIO2,-,3,-,-,-,-
433,PR44A,2,3,True_OF_PR44B,TRUE,RDQ41,D2
434,PR41D,2,-,Comp_OF_PR41C,-,RDQ41,-
435,VSS,-,3,-,-,-,-
436,PR41B,2,3,Comp_OF_PR41A,TRUE,RDQSN41,B2
437,PR41C,2,-,True_OF_PR41D,-,RDQ41,A2
438,VCC,-,3,-,-,-,-
439,PR41A,2,3,True_OF_PR41B,TRUE,RDQS41,A3
440,PR38D,2,-,Comp_OF_PR38C,-,RDQ41,-
441,VSS,-,3,-,-,-,-
442,PR38B,2,3,Comp_OF_PR38A,TRUE,RDQ41,C2
443,PR38C,2,-,True_OF_PR38D,-,RDQ41,-
444,VCCAUX,-,3,-,-,-,-
445,PR38A,2,3,True_OF_PR38B,TRUE,RDQ41,D3
446,PR35D,2,-,Comp_OF_PR35C,-,RDQ41,C3
447,VCCIO2,-,3,-,-,-,-
448,PR35B,2,2,Comp_OF_PR35A,TRUE,RDQ41,C4
449,PR35C,2,-,True_OF_PR35D,-,RDQ41,B4
450,VSSIO2,-,2,-,-,-,-
451,PR35A,2,2,True_OF_PR35B,TRUE,RDQ41,D4
452,PR32D,2,-,Comp_OF_PR32C,-,RDQ29,-
453,VCCIO2,-,2,-,-,-,-
454,PR32B,2,2,Comp_OF_PR32A,TRUE,RDQ29,-
455,PR32C,2,-,True_OF_PR32D,-,RDQ29,-
456,VSSIO2,-,2,-,-,-,-
457,PR32A,2,2,True_OF_PR32B,TRUE,RDQ29,-
458,PR29D,2,-,Comp_OF_PR29C,-,RDQ29,-
459,VSS,-,2,-,-,-,-
460,PR29B,2,2,Comp_OF_PR29A,TRUE,RDQSN29,-
461,PR29C,2,-,True_OF_PR29D,-,RDQ29,-
462,VCC,-,2,-,-,-,-
463,PR29A,2,2,True_OF_PR29B,TRUE,RDQS29,-
464,PR26D,2,-,Comp_OF_PR26C,-,RDQ29,-
465,VSS,-,2,-,-,-,-
466,PR26B,2,2,Comp_OF_PR26A,TRUE,RDQ29,-
467,PR26C,2,-,True_OF_PR26D,-,RDQ29,-
468,VCCAUX,-,2,-,-,-,-
469,PR26A,2,2,True_OF_PR26B,TRUE,RDQ29,-
470,PR23D,2,-,Comp_OF_PR23C,-,RDQ29,-
471,VCCIO2,-,2,-,-,-,-
472,PR23B,2,2,Comp_OF_PR23A,TRUE,RDQ29,-
473,PR23C,2,-,True_OF_PR23D,-,RDQ29,-
474,VSSIO2,-,2,-,-,-,-
475,PR23A,2,2,True_OF_PR23B,TRUE,RDQ29,-
