# Pin Out For ECP5-5G-85,,,,,,,
# Revision 0.0,,,,,,,
"# Revised Feb. 23, 2016",,,,,,,
,,,,,,,
PAD,Pin/Ball Function,Bank,Dual Function,Differential,High Speed,DQS,CSFBGA285
476,PR20D,2,-,Comp_OF_PR20C,-,RDQ17,-
477,VCCIO2,-,2,-,-,-,-
478,PR20B,2,2,Comp_OF_PR20A,TRUE,RDQ17,A4
479,PR20C,2,-,True_OF_PR20D,-,RDQ17,-
480,VSSIO2,-,2,-,-,-,-
481,PR20A,2,2,True_OF_PR20B,TRUE,RDQ17,A6
482,PR17D,2,-,Comp_OF_PR17C,-,RDQ17,-
483,VSS,-,2,-,-,-,-
484,PR17B,2,2,Comp_OF_PR17A,TRUE,RDQSN17,A7
485,PR17C,2,-,True_OF_PR17D,-,RDQ17,-
486,VCC,-,2,-,-,-,-
487,PR17A,2,2,True_OF_PR17B,TRUE,RDQS17,B6
488,PR14D,2,-,Comp_OF_PR14C,-,RDQ17,-
489,VSS,-,2,-,-,-,-
490,PR14B,2,2,Comp_OF_PR14A,TRUE,RDQ17,C6
491,PR14C,2,-,True_OF_PR14D,-,RDQ17,-
492,VCCAUX,-,2,-,-,-,-
493,PR14A,2,2,True_OF_PR14B,TRUE,RDQ17,D6
494,PR11D,2,-,Comp_OF_PR11C,-,RDQ17,-
495,VCCIO2,-,2,-,-,-,-
496,PR11C,2,2,True_OF_PR11D,-,RDQ17,-
497,VSSIO2,-,-,-,-,-,-
498,PR11B,2,2,Comp_OF_PR11A,TRUE,RDQ17,B7
499,PR11A,2,2,True_OF_PR11B,TRUE,RDQ17,C7
500,NC,-,-,-,-,-,-
501,NC,-,2,-,-,-,-
502,NC,-,2,-,-,-,-
503,NC,-,-,-,-,-,-
504,NC,-,2,-,-,-,-
505,GND,-,2,-,-,-,-
506,VCC,-,-,-,-,-,-
507,VSS,-,2,-,-,-,-
508,VCC,-,2,-,-,-,-
509,PT121B,1,-,Comp_OF_PT121A,-,-,C8
510,VCCIO1,-,2,-,-,-,-
511,PT119B,1,2,Comp_OF_PT119A,-,-,-
512,PT121A,1,-,True_OF_PT121B,-,-,B8
513,VSSIO1,-,2,-,-,-,-
514,PT119A,1,2,True_OF_PT119B,-,-,-
515,PT116B,1,-,Comp_OF_PT116A,-,-,-
516,VSS,-,2,-,-,-,-
517,PT114B,1,-,Comp_OF_PT114A,-,-,-
518,PT116A,1,2,True_OF_PT116B,-,-,-
519,VCC,-,2,-,-,-,-
520,PT114A,1,-,True_OF_PT114B,-,-,-
521,PT112B,1,-,Comp_OF_PT112A,-,-,-
522,VSS,-,-,-,-,-,-
523,PT110B,1,-,Comp_OF_PT110A,-,-,-
524,PT112A,1,-,True_OF_PT112B,-,-,-
525,VCCAUX,-,-,-,-,-,-
526,PT110A,1,-,True_OF_PT110B,-,-,-
527,PT107B,1,-,Comp_OF_PT107A,-,-,-
528,VCCIO1,-,-,-,-,-,-
529,PT105B,1,1,Comp_OF_PT105A,-,-,-
530,PT107A,1,-,True_OF_PT107B,-,-,-
531,VSSIO1,-,1,-,-,-,-
532,PT105A,1,1,True_OF_PT105B,-,-,-
533,PT103B,1,-,Comp_OF_PT103A,-,-,-
534,VCCIO1,-,1,-,-,-,-
535,PT101B,1,1,Comp_OF_PT101A,-,-,-
536,PT103A,1,-,True_OF_PT103B,-,-,-
537,VSSIO1,-,1,-,-,-,-
538,PT101A,1,1,True_OF_PT101B,-,-,-
539,PT98B,1,-,Comp_OF_PT98A,-,-,-
540,VSS,-,1,-,-,-,-
541,PT96B,1,1,Comp_OF_PT96A,-,-,-
542,PT98A,1,-,True_OF_PT98B,-,-,-
543,VCC,-,1,-,-,-,-
544,PT96A,1,1,True_OF_PT96B,-,-,-
545,PT94B,1,-,Comp_OF_PT94A,-,-,-
546,VSS,-,1,-,-,-,-
547,PT92B,1,1,Comp_OF_PT92A,-,-,-
548,PT94A,1,-,True_OF_PT94B,-,-,-
549,VCCAUX,-,1,-,-,-,-
550,PT92A,1,1,True_OF_PT92B,-,-,-
551,PT89B,1,-,Comp_OF_PT89A,-,-,-
552,VCCIO1,-,1,-,-,-,-
553,PT87B,1,1,Comp_OF_PT87A,-,-,-
554,PT89A,1,-,True_OF_PT89B,-,-,-
555,VSSIO1,-,1,-,-,-,-
556,PT87A,1,1,True_OF_PT87B,-,-,-
557,PT85B,1,-,Comp_OF_PT85A,-,-,-
558,VCCIO1,-,1,-,-,-,-
559,PT83B,1,1,Comp_OF_PT83A,-,-,-
560,PT85A,1,-,True_OF_PT85B,-,-,-
561,VSSIO1,-,1,-,-,-,-
562,PT83A,1,1,True_OF_PT83B,-,-,-
563,PT80B,1,-,Comp_OF_PT80A,-,-,-
564,VSS,-,1,-,-,-,-
565,PT78B,1,1,Comp_OF_PT78A,-,-,-
566,PT80A,1,-,True_OF_PT80B,-,-,-
567,VCC,-,1,-,-,-,-
568,PT78A,1,1,True_OF_PT78B,-,-,-
569,PT76B,1,-,Comp_OF_PT76A,-,-,-
570,VCCIO1,-,1,-,-,-,-
571,PT74B,1,1,Comp_OF_PT74A,-,-,-
572,PT76A,1,-,True_OF_PT76B,-,-,-
573,VSSIO1,-,1,-,-,-,-
574,PT74A,1,1,True_OF_PT74B,-,-,-
575,PT71B,1,-,Comp_OF_PT71A,-,-,A8
576,VSS,-,1,-,-,-,-
577,PT69B,1,1,Comp_OF_PT69A,-,-,C9
578,PT71A,1,-,True_OF_PT71B,-,-,A9
579,VCC,-,1,-,-,-,-
580,PT69A,1,1,True_OF_PT69B,-,-,B9
581,VSS,-,-,-,-,-,-
582,VCC,-,1,-,-,-,-
583,PT65B,0,1,Comp_OF_PT65A,-,-,C10
584,VCCIO0,-,-,-,-,-,-
585,PT63B,0,1,Comp_OF_PT63A,-,-,A10
586,PT65A,0,1,True_OF_PT65B,-,-,B10
587,VSSIO0,-,-,-,-,-,-
588,PT63A,0,1,True_OF_PT63B,-,-,A11
589,PT60B,0,1,Comp_OF_PT60A,-,-,-
590,VSS,-,-,-,-,-,-
591,PT58B,0,1,Comp_OF_PT58A,-,-,-
592,PT60A,0,1,True_OF_PT60B,-,-,-
593,VCC,-,-,-,-,-,-
594,PT58A,0,1,True_OF_PT58B,-,-,-
595,PT56B,0,1,Comp_OF_PT56A,-,-,-
596,VSS,-,-,-,-,-,-
597,PT54B,0,1,Comp_OF_PT54A,-,-,-
598,PT56A,0,1,True_OF_PT56B,-,-,-
599,VCCAUX,-,-,-,-,-,-
600,PT54A,0,1,True_OF_PT54B,-,-,-
601,PT51B,0,-,Comp_OF_PT51A,-,-,-
602,VCCIO0,-,-,-,-,-,-
603,PT49B,0,0,Comp_OF_PT49A,-,-,-
604,PT51A,0,-,True_OF_PT51B,-,-,-
605,VSSIO0,-,0,-,-,-,-
606,PT49A,0,0,True_OF_PT49B,-,-,-
607,PT47B,0,-,Comp_OF_PT47A,-,-,-
608,VCCIO0,-,0,-,-,-,-
609,PT45B,0,0,Comp_OF_PT45A,-,-,-
610,PT47A,0,-,True_OF_PT47B,-,-,-
611,VSSIO0,-,0,-,-,-,-
612,PT45A,0,0,True_OF_PT45B,-,-,-
613,PT42B,0,-,Comp_OF_PT42A,-,-,-
614,VSS,-,0,-,-,-,-
615,PT40B,0,0,Comp_OF_PT40A,-,-,-
616,PT42A,0,-,True_OF_PT42B,-,-,-
617,VCC,-,0,-,-,-,-
618,PT40A,0,0,True_OF_PT40B,-,-,-
619,PT38B,0,-,Comp_OF_PT38A,-,-,-
620,VSS,-,0,-,-,-,-
621,PT36B,0,0,Comp_OF_PT36A,-,-,-
622,PT38A,0,-,True_OF_PT38B,-,-,-
623,VCCAUX,-,0,-,-,-,-
624,PT36A,0,0,True_OF_PT36B,-,-,-
625,PT33B,0,-,Comp_OF_PT33A,-,-,-
626,VCCIO0,-,0,-,-,-,-
627,PT31B,0,0,Comp_OF_PT31A,-,-,-
628,PT33A,0,-,True_OF_PT33B,-,-,-
629,VSSIO0,-,0,-,-,-,-
630,PT31A,0,0,True_OF_PT31B,-,-,-
631,PT29B,0,-,Comp_OF_PT29A,-,-,-
632,VCCIO0,-,0,-,-,-,-
633,PT27B,0,0,Comp_OF_PT27A,-,-,-
634,PT29A,0,-,True_OF_PT29B,-,-,-
635,VSSIO0,-,0,-,-,-,-
636,PT27A,0,0,True_OF_PT27B,-,-,-
637,PT24B,0,-,Comp_OF_PT24A,-,-,-
638,VSS,-,0,-,-,-,-
639,PT22B,0,0,Comp_OF_PT22A,-,-,-
640,PT24A,0,-,True_OF_PT24B,-,-,-
641,VCC,-,0,-,-,-,-
642,PT22A,0,0,True_OF_PT22B,-,-,-
643,PT20B,0,-,Comp_OF_PT20A,-,-,-
644,VSS,-,0,-,-,-,-
645,PT18B,0,0,Comp_OF_PT18A,-,-,-
646,PT20A,0,-,True_OF_PT20B,-,-,-
647,VCCAUX,-,0,-,-,-,-
648,PT18A,0,0,True_OF_PT18B,-,-,-
649,PT15B,0,-,Comp_OF_PT15A,-,-,-
650,VCCIO0,-,0,-,-,-,-
651,PT13B,0,0,Comp_OF_PT13A,-,-,-
652,PT15A,0,-,True_OF_PT15B,-,-,-
653,VSSIO0,-,0,-,-,-,-
654,PT13A,0,0,True_OF_PT13B,-,-,-
655,PT11B,0,-,Comp_OF_PT11A,-,-,-
656,VCCIO0,-,0,-,-,-,-
657,PT9B,0,0,Comp_OF_PT9A,-,-,-
658,PT11A,0,-,True_OF_PT11B,-,-,-
659,VSSIO0,-,0,-,-,-,-
660,PT9A,0,0,True_OF_PT9B,-,-,-
661,PT6B,0,-,Comp_OF_PT6A,-,-,-
662,VSS,-,0,-,-,-,-
663,PT4B,0,0,Comp_OF_PT4A,-,-,C11
664,PT6A,0,-,True_OF_PT6B,-,-,-
665,VCC,-,0,-,-,-,-
666,PT4A,0,0,True_OF_PT4B,-,-,B11
667,VSS,-,-,-,-,-,-
668,VCC,-,0,-,-,-,-
669,VCC,-,0,-,-,-,-
670,GND,-,-,-,-,-,-
0,NC,-,0,-,-,-,-
0,GND,-,0,-,-,-,G2
0,GND,-,-,-,-,-,L2
0,GND,-,0,-,-,-,B3
0,GND,-,0,-,-,-,E5
0,GND,-,-,-,-,-,F5
0,GND,-,0,-,-,-,K5
0,GND,-,0,-,-,-,L5
0,GND,-,-,-,-,-,F6
0,GND,-,0,-,-,-,G6
0,GND,-,0,-,-,-,H6
0,GND,-,-,-,-,-,J6
0,GND,-,0,-,-,-,K6
0,GND,-,0,-,-,-,L6
0,GND,-,-,-,-,-,M6
0,GND,-,0,-,-,-,E7
0,GND,-,-,-,-,-,F7
0,GND,-,-,-,-,-,G7
0,GND,-,-,-,-,-,H7
0,GND,-,-,-,-,-,J7
0,GND,-,-,-,-,-,K7
0,GND,-,-,-,-,-,L7
0,GND,-,-,-,-,-,M7
0,GND,-,-,-,-,-,N7
0,GND,-,-,-,-,-,E8
0,GND,-,-,-,-,-,F8
0,GND,-,-,-,-,-,G8
0,GND,-,-,-,-,-,H8
0,GND,-,-,-,-,-,J8
0,GND,-,-,-,-,-,K8
0,GND,-,-,-,-,-,L8
0,GND,-,-,-,-,-,M8
0,GND,-,-,-,-,-,N8
0,GND,-,-,-,-,-,E9
0,GND,-,-,-,-,-,F9
0,GND,-,-,-,-,-,G9
0,GND,-,-,-,-,-,H9
0,GND,-,-,-,-,-,J9
0,GND,-,-,-,-,-,K9
0,GND,-,-,-,-,-,L9
0,GND,-,-,-,-,-,M9
0,GND,-,-,-,-,-,N9
0,GND,-,-,-,-,-,E10
0,GND,-,-,-,-,-,F10
0,GND,-,-,-,-,-,G10
0,GND,-,-,-,-,-,H10
0,GND,-,-,-,-,-,J10
0,GND,-,-,-,-,-,K10
0,GND,-,-,-,-,-,L10
0,GND,-,-,-,-,-,M10
0,GND,-,-,-,-,-,N10
0,GND,-,-,-,-,-,E11
0,GND,-,-,-,-,-,F11
0,GND,-,-,-,-,-,G11
0,GND,-,-,-,-,-,H11
0,GND,-,-,-,-,-,J11
0,GND,-,-,-,-,-,K11
0,GND,-,-,-,-,-,L11
0,GND,-,-,-,-,-,M11
0,GND,-,-,-,-,-,N11
0,GND,-,-,-,-,-,E12
0,GND,-,-,-,-,-,F12
0,GND,-,-,-,-,-,G12
0,GND,-,-,-,-,-,H12
0,GND,-,-,-,-,-,J12
0,GND,-,-,-,-,-,K12
0,GND,-,-,-,-,-,L12
0,GND,-,-,-,-,-,M12
0,GND,-,-,-,-,-,N12
0,GND,-,-,-,-,-,F13
0,GND,-,-,-,-,-,G13
0,GND,-,-,-,-,-,H13
0,GND,-,-,-,-,-,J13
0,GND,-,-,-,-,-,K13
0,GND,-,-,-,-,-,L13
0,GND,-,-,-,-,-,M13
0,GND,-,-,-,-,-,E14
0,GND,-,-,-,-,-,F14
0,GND,-,-,-,-,-,K14
0,GND,-,-,-,-,-,L14
0,GND,-,-,-,-,-,B16
0,GND,-,-,-,-,-,T16
0,GND,-,-,-,-,-,G17
0,GND,-,-,-,-,-,L17
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,VCC,-,-,-,-,-,J4
0,VCC,-,-,-,-,-,M4
0,VCC,-,-,-,-,-,J5
0,VCC,-,-,-,-,-,P7
0,VCC,-,-,-,-,-,D8
0,VCC,-,-,-,-,-,D9
0,VCC,-,-,-,-,-,P9
0,VCC,-,-,-,-,-,D10
0,VCC,-,-,-,-,-,D11
0,VCC,-,-,-,-,-,P11
0,VCC,-,-,-,-,-,J14
0,VCC,-,-,-,-,-,J15
0,VCC,-,-,-,-,-,M15
0,VCC,-,-,-,-,-,-
0,VCC,-,-,-,-,-,-
0,VCC,-,-,-,-,-,-
0,VCC,-,-,-,-,-,-
0,VCC,-,-,-,-,-,-
0,VCC,-,-,-,-,-,-
0,VCC,-,-,-,-,-,-
0,VCC,-,-,-,-,-,-
0,VCC,-,-,-,-,-,-
0,VCC,-,-,-,-,-,-
0,VCC,-,-,-,-,-,-
0,VCC,-,-,-,-,-,-
0,VCC,-,-,-,-,-,-
0,VCC,-,-,-,-,-,-
0,VCC,-,-,-,-,-,-
0,VCC,-,-,-,-,-,-
0,VCC,-,-,-,-,-,-
0,VCC,-,-,-,-,-,-
0,VCC,-,-,-,-,-,-
0,VCC,-,-,-,-,-,-
0,VCC,-,-,-,-,-,-
0,VCC,-,-,-,-,-,-
0,VCC,-,-,-,-,-,-
0,VCC,-,-,-,-,-,-
0,VCC,-,-,-,-,-,-
0,VCC,-,-,-,-,-,-
0,VCC,-,-,-,-,-,-
0,VCCAUX,-,-,-,-,-,E6
0,VCCAUX,-,-,-,-,-,N6
0,VCCAUX,-,-,-,-,-,E13
0,VCCAUX,-,-,-,-,-,P13
0,VCCAUX,-,-,-,-,-,-
0,VCCAUX,-,-,-,-,-,-
0,VCCAUX,-,-,-,-,-,-
0,VCCAUX,-,-,-,-,-,-
0,VCCAUX,-,-,-,-,-,-
0,VCCAUX,-,-,-,-,-,-
0,VCCAUX,-,-,-,-,-,-
0,VCCAUX,-,-,-,-,-,-
0,VCCAUX,-,-,-,-,-,-
0,VCCAUX,-,-,-,-,-,-
0,VCCAUX,-,-,-,-,-,-
0,VCCAUX,-,-,-,-,-,-
0,VCCAUX,-,-,-,-,-,-
0,VCCAUX,-,-,-,-,-,-
0,VCCAUX,-,-,-,-,-,-
0,VCCAUX,-,-,-,-,-,-
0,VCCAUX,-,-,-,-,-,-
0,VCCAUX,-,-,-,-,-,-
0,VCCAUX,-,-,-,-,-,-
0,VCCAUX,-,-,-,-,-,-
0,VCCAUX,-,-,-,-,-,-
0,VCCAUX,-,-,-,-,-,-
0,VCCAUX,-,-,-,-,-,-
0,VCCAUX,-,-,-,-,-,-
0,VCCIO0,0,-,-,-,-,D12
0,VCCIO0,0,-,-,-,-,-
0,VCCIO0,0,-,-,-,-,-
0,VCCIO0,0,-,-,-,-,-
0,VCCIO0,0,-,-,-,-,-
0,VCCIO0,0,-,-,-,-,-
0,VCCIO1,1,-,-,-,-,D7
0,VCCIO1,1,-,-,-,-,-
0,VCCIO1,1,-,-,-,-,-
0,VCCIO1,1,-,-,-,-,-
0,VCCIO1,1,-,-,-,-,-
0,VCCIO1,1,-,-,-,-,-
0,VCCIO2,2,-,-,-,-,G5
0,VCCIO2,2,-,-,-,-,H5
0,VCCIO2,2,-,-,-,-,-
0,VCCIO2,2,-,-,-,-,-
0,VCCIO2,2,-,-,-,-,-
0,VCCIO2,2,-,-,-,-,-
0,VCCIO2,2,-,-,-,-,-
0,VCCIO2,2,-,-,-,-,-
0,VCCIO3,3,0,-,-,-,M5
0,VCCIO3,3,0,-,-,-,N5
0,VCCIO3,3,0,-,-,-,-
0,VCCIO3,3,0,-,-,-,-
0,VCCIO3,3,0,-,-,-,-
0,VCCIO3,3,0,-,-,-,-
0,VCCIO3,3,1,-,-,-,-
0,VCCIO3,3,1,-,-,-,-
0,VCCIO4,4,1,-,-,-,-
0,VCCIO4,4,1,-,-,-,-
0,VCCIO4,4,1,-,-,-,-
0,VCCIO4,4,1,-,-,-,-
0,VCCIO4,4,2,-,-,-,-
0,GND,-,2,-,-,-,R1
0,GND,-,2,-,-,-,R2
0,GND,-,2,-,-,-,T2
0,GND,-,2,-,-,-,U2
0,GND,-,2,-,-,-,T3
0,GND,-,2,-,-,-,U3
0,GND,-,2,-,-,-,T4
0,GND,-,3,-,-,-,U4
0,GND,-,3,-,-,-,V4
0,GND,-,3,-,-,-,U5
0,GND,-,3,-,-,-,P6
0,GND,-,3,-,-,-,T6
0,GND,-,3,-,-,-,T7
0,GND,-,3,-,-,-,U7
0,GND,-,3,-,-,-,V7
0,GND,-,4,-,-,-,P8
0,GND,-,4,-,-,-,T8
0,GND,-,4,-,-,-,T9
0,GND,-,4,-,-,-,U9
0,GND,-,4,-,-,-,T10
0,GND,-,-,-,-,-,U10
0,GND,-,-,-,-,-,V10
0,GND,-,-,-,-,-,T11
0,GND,-,-,-,-,-,U11
0,GND,-,-,-,-,-,P12
0,GND,-,-,-,-,-,T12
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,GND,-,-,-,-,-,-
0,VCCA0,-,-,-,-,-,P10
0,VCCA0,-,-,-,-,-,R10
0,VCCA0,-,-,-,-,-,-
0,VCCA0,-,-,-,-,-,-
0,VCCA0,-,-,-,-,-,-
0,VCCA0,-,-,-,-,-,-
0,VCCA0,-,-,-,-,-,-
0,VCCA0,-,-,-,-,-,-
0,VCCA0,-,-,-,-,-,-
0,VCCA0,-,-,-,-,-,-
0,VCCA0,-,-,-,-,-,-
0,VCCA1,-,-,-,-,-,-
0,VCCA1,-,-,-,-,-,-
0,VCCA1,-,-,-,-,-,-
0,VCCA1,-,-,-,-,-,-
0,VCCA1,-,-,-,-,-,-
0,VCCA1,-,-,-,-,-,-
0,VCCA1,-,-,-,-,-,-
0,VCCA1,-,-,-,-,-,-
0,VCCA1,-,-,-,-,-,-
0,VCCA1,-,-,-,-,-,-
0,VCCA1,-,-,-,-,-,-
0,VCCAUXA0,-,-,-,-,-,R3
0,VCCAUXA0,-,-,-,-,-,P5
0,VCCAUXA0,-,-,-,-,-,-
0,VCCAUXA0,-,-,-,-,-,-
0,VCCAUXA0,-,-,-,-,-,-
0,VCCAUXA0,-,-,-,-,-,-
0,VCCAUXA1,-,-,-,-,-,-
0,VCCAUXA1,-,-,-,-,-,-
0,VCCAUXA1,-,-,-,-,-,-
0,VCCAUXA1,-,-,-,-,-,-
0,VCCAUXA1,-,-,-,-,-,-
0,VCCAUXA1,-,-,-,-,-,-
0,VCCIO8,8,-,-,-,-,N13
0,VCCIO8,8,-,-,-,-,P14
0,VCCIO8,8,-,-,-,-,-
0,VCCIO8,8,-,-,-,-,-
0,VCCIO8,8,-,-,-,-,-
0,VCCIO6,6,-,-,-,-,M14
0,VCCIO6,6,-,-,-,-,N14
0,VCCIO6,6,-,-,-,-,-
0,VCCIO6,6,-,-,-,-,-
0,VCCIO6,6,-,-,-,-,-
0,VCCIO6,6,-,-,-,-,-
0,VCCIO6,6,-,-,-,-,-
0,VCCIO6,6,-,-,-,-,-
0,VCCIO7,7,-,-,-,-,G14
0,VCCIO7,7,-,-,-,-,H14
0,VCCIO7,7,-,-,-,-,-
0,VCCIO7,7,-,-,-,-,-
0,VCCIO7,7,-,-,-,-,-
0,VCCIO7,7,-,-,-,-,-
0,VCCIO7,7,-,-,-,-,-
0,VCCIO7,7,8,-,-,-,-
0,NC,-,8,-,-,-,-
0,NC,-,8,-,-,-,-
0,NC,-,8,-,-,-,-
0,NC,-,8,-,-,-,-
0,NC,-,6,-,-,-,-
0,NC,-,6,-,-,-,-
0,NC,-,6,-,-,-,-
0,NC,-,6,-,-,-,-
0,NC,-,6,-,-,-,-
0,NC,-,6,-,-,-,-
0,NC,-,6,-,-,-,-
0,NC,-,6,-,-,-,-
0,NC,-,7,-,-,-,-
0,NC,-,7,-,-,-,-
0,NC,-,7,-,-,-,-
0,NC,-,7,-,-,-,-
0,NC,-,7,-,-,-,-
0,NC,-,7,-,-,-,-
0,NC,-,7,-,-,-,-
0,NC,-,7,-,-,-,-
0,NC,-,-,-,-,-,-
0,NC,-,-,-,-,-,-
0,NC,-,-,-,-,-,-
0,NC,-,-,-,-,-,-
0,NC,-,-,-,-,-,-
0,NC,-,-,-,-,-,-
0,NC,-,-,-,-,-,-
0,NC,-,-,-,-,-,-
0,NC,-,-,-,-,-,-
0,NC,-,-,-,-,-,-
0,NC,-,-,-,-,-,-
0,NC,-,-,-,-,-,-
0,NC,-,-,-,-,-,-
0,NC,-,-,-,-,-,-
0,NC,-,-,-,-,-,-
0,NC,-,-,-,-,-,-
0,NC,-,-,-,-,-,-
0,NC,-,-,-,-,-,-
0,NC,-,-,-,-,-,-
0,NC,-,-,-,-,-,-
0,NC,-,-,-,-,-,-
0,NC,-,-,-,-,-,-
0,NC,-,-,-,-,-,-
,,,-,,,,
,,,-,,,,
,,,-,,,,
,,,-,,,,
,,,-,,,,
,,,-,,,,
,,,-,,,,
,,,-,,,,
,,,-,,,,
,,,-,,,,
,,,-,,,,
,,,-,,,,
,,,-,,,,
,,,-,,,,
,,,-,,,,
,,,-,,,,
,,,-,,,,
,,,-,,,,
,,,-,,,,
,,,-,,,,
